själv	(-a)	self (myself, yourself, etc)	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
kanonbra		great	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Hejsan		Hi there!	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Hur är det		How are things?	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Fint		Great!	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Allt väl		All well?	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
väl		Well Good	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Helt		okej Fine	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
helt		completely	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
okej		okay	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
för mycket		too much	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
jodå		allright	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
som vanligt		as usual	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
vanlig	(-t, -a)	usual, ordinary	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Tja	(= Tjena!)	Hey!, Hi!	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
så där		so-so	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
nja		we-ell…	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Hur står det till		How are you?	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
ganska fairly		quite	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
dålig	(-t, -a)	bad, ill	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
faktiskt		actually	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Jag är förkyld.		I have a cold.	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
så		so	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
trött		tired	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
God morgon		Good morning!	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Jättetrött		really tired	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Oj då		Oh!, Wow!	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
